operator_id,wait_avg_op,wait_avg_internal,conv_missed_ratio,conv_missed_ratio_internas,conv_out_total,op_type,calls_count_total,outbound_calls_avg,flag_low_outbound_conv_total,flag_low_outbound_calls_avg,flag_low_outbound_calls_total,flag_wait_avg_op,flag_wait_avg_internal,flag_conv_missed_ratio,flag_conv_missed_ratio_internas,num_flags,is_inefficient,grupo
899912,19.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
899932,,,,,31.0,outbound,298.0,10.275862068965518,False,False,False,,,False,False,0,False,Eficientes
899964,,,,,28.0,outbound,417.0,14.892857142857142,False,False,False,,,False,False,0,False,Eficientes
899968,,,,,28.0,outbound,299.0,11.5,False,False,False,,,False,False,0,False,Eficientes
899972,,,,,28.0,outbound,188.0,6.482758620689655,False,False,False,,,False,False,0,False,Eficientes
900180,36.0,,,,73.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900192,5.0,,,,1.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900194,32.75,,0.05555555555555555,,26.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900352,55.21052631578947,,,,79.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900354,51.48936170212766,,0.02127659574468085,,102.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900458,9.0,,,,10.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900492,17.0,,0.06666666666666667,,88.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900592,44.85,,,,36.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900594,18.25,,,,63.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900614,17.916666666666668,,,,23.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900742,31.444444444444443,,,,7.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900746,55.54545454545455,,0.09090909090909091,,16.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900788,19.071428571428573,,0.023809523809523808,,38.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900790,46.375,,,,17.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900792,34.0,,,,3.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900826,19.695652173913043,,,,119.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
900892,27.19736842105263,15.090909090909092,0.039473684210526314,,148.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
900894,30.525,24.0,0.025,,85.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
901034,15.9,,,,6.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
901038,28.5,,,,13.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
901350,73.21875,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
901492,30.208333333333332,,,,3.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
901498,66.25,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
901584,14.5,,,,75.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
901586,11.62962962962963,,,,31.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
901588,8.736842105263158,,,,25.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
901734,30.23076923076923,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
901886,56.55319148936171,17.666666666666668,,,100.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
901894,82.44444444444444,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
901992,13.0,,,,28.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
901996,43.0,,,,3.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
902238,8.0,,,,1.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
